qid,leader,ccode,iso3,country,start_year,end_year,term_limits_absent,president_for_life,family_in_govt,political_killings,military_executive,judicial_purges,const_disregard,no_leg_constraint,places_named,grandiose_titles,monuments,birthday_holiday,hagiography,cult_of_personality,currency_portrait,oath_to_person
Q296691,de La Madrid,70,MEX,Mexico,1982,1988,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Q315633,Salinas,70,MEX,Mexico,1988,1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Q298149,Zedillo,70,MEX,Mexico,1994,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Q190572,Vicente Fox Quesada,70,MEX,Mexico,2000,2006,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Q296741,Enrique Pena Nieto,70,MEX,Mexico,2012,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q542559,Price,80,BLZ,Belize,1961,1984,0,0,0,,,,,,1,1,0,1,0,0,1,0
Q951969,Esquivel,80,BLZ,Belize,1984,1989,0,0,0,,,,,,0,0,0,0,0,0,0,0
Q542559,Price,80,BLZ,Belize,1989,1993,0,0,0,,,,,,1,1,0,1,0,0,1,0
Q951969,Esquivel,80,BLZ,Belize,1993,1998,0,0,0,,,,,,0,0,0,0,0,0,0,0
Q335215,Musa,80,BLZ,Belize,1998,2008,0,0,1,,,,,,0,0,0,0,0,0,0,0
Q216943,Arbenz Guzman,90,GTM,Guatemala,1951,1954,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Q468224,Castillo Armas,90,GTM,Guatemala,1954,1957,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0
Q881015,Gonzalez Lopez,90,GTM,Guatemala,1957,1957,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q293391,Mendoza Azurdia,90,GTM,Guatemala,1957,1957,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q879116,Peralta Azurdia,90,GTM,Guatemala,1963,1966,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q879311,Mendez Montenegro,90,GTM,Guatemala,1966,1970,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q887685,Arana Osorio,90,GTM,Guatemala,1970,1974,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q887011,Laugerud Garcia,90,GTM,Guatemala,1974,1978,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q293385,Mejia Victores,90,GTM,Guatemala,1983,1986,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q887617,Cerezo,90,GTM,Guatemala,1986,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q293194,Berger Perdomo,90,GTM,Guatemala,2004,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q57539,Perez Molina,90,GTM,Guatemala,2012,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1490067,Hector Caraccioli,91,HND,Honduras,1956,1957,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Q880056,Castro,91,HND,Honduras,1975,1978,0,0,0,1,1,1,1,,0,0,0,0,0,0,0,0
Q880335,Paz Garcia,91,HND,Honduras,1978,1982,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Q879219,Reina,91,HND,Honduras,1994,1998,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Q441393,Ricardo Maduro,91,HND,Honduras,2002,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q299442,Micheletti,91,HND,Honduras,2009,2010,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Q887328,Castaneda Castro,92,SLV,El Salvador,1945,1948,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Q887586,Rodolfo Cordon,92,SLV,El Salvador,1962,1962,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Q887693,Sanchez Hernandez,92,SLV,El Salvador,1967,1972,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Q381018,Calderon Sol,92,SLV,El Salvador,1994,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q936831,Sanchez Ceren,92,SLV,El Salvador,2014,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q312622,Anastasio Somoza Garcia,93,NIC,Nicaragua,1947,1956,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Q529610,Luis Somoza Debayle,93,NIC,Nicaragua,1956,1963,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Q888703,Guerrero Gutierrez,93,NIC,Nicaragua,1966,1967,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Q218443,Anastasio Somoza Debayle,93,NIC,Nicaragua,1967,1979,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Q57402,Daniel Ortega,93,NIC,Nicaragua,1979,1990,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Q114142,Violeta Chamorro,93,NIC,Nicaragua,1990,1997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Q5974590,Leon Herrera,94,CRI,Costa Rica,1948,1948,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Q365359,Echandi Jimenez,94,CRI,Costa Rica,1958,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q887589,Orlich,94,CRI,Costa Rica,1962,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q318298,Carazo Odio,94,CRI,Costa Rica,1978,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q887712,Calderon Fournier,94,CRI,Costa Rica,1990,1994,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Q82593,Figueres Olsen,94,CRI,Costa Rica,1994,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q57321,Laura Chinchilla Miranda,94,CRI,Costa Rica,2010,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q880729,Guizado,95,PAN,Panama,1955,1955,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Q887699,Balladares,95,PAN,Panama,1994,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q231946,Mireya Moscoso,95,PAN,Panama,1999,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q276283,Martin Torrijos,95,PAN,Panama,2004,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q12002,Lleras Camargo,100,COL,Colombia,1945,1946,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Q455692,Rojas Pinillia,100,COL,Colombia,1953,1957,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Q12002,Lleras Camargo,100,COL,Colombia,1958,1962,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q540230,Lleras Restropo,100,COL,Colombia,1966,1970,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q728833,Pastrana Borrero,100,COL,Colombia,1970,1974,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q540192,Vargas,100,COL,Colombia,1986,1990,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q332020,César Gaviria Trujillo,100,COL,Colombia,1990,1994,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Q187413,Alvaro Uribe Velez,100,COL,Colombia,2002,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q888147,Delgado Chalbaud,101,VEN,Venezuela,1948,1950,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Q718250,Sanabria,101,VEN,Venezuela,1958,1959,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Q455661,Campins,101,VEN,Venezuela,1979,1984,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Q727036,Lusinchi,101,VEN,Venezuela,1984,1989,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
