qid,leader,ccode,start_year,end_year,monuments_count,monuments_binary,monuments_details,holiday_count,holiday_binary,holiday_details,hagiography_count,hagiography_binary,hagiography_details,media_named_count,media_named_binary,media_named_details
Q471248,Mahuad,130,1998,2000,0,0,,0,0,,0,0,,0,0,
Q471291,Gustavo Noboa,130,2000,2003,0,0,,0,0,,0,0,,0,0,
Q336234,Lucio Gutierrez,130,2003,2005,0,0,,0,0,,0,0,,0,0,
Q19581,Rafael Correa,130,2007,2015,0,0,,0,0,,1,0,Ecuador: de Banana Republic a la No República,0,0,
Q116718,Ugarteche,135,1956,1962,0,0,,0,0,,0,0,,0,0,
Q311431,Velasco Alvarado,135,1968,1975,0,0,,0,0,,0,0,,0,0,
Q207426,Alejandro Toledo,135,2001,2006,0,0,,0,0,,0,0,,0,0,
Q57254,Ollanta Humala,135,2011,2015,0,0,,0,0,,0,0,,0,0,
Q296679,Dutra,140,1946,1951,1,1,Praça Popular,0,0,,0,0,,0,0,
Q269572,Coimbra da Luz,140,1955,1955,0,0,,0,0,,0,0,,0,0,
Q155824,Kubitschek,140,1956,1961,0,0,,0,0,,0,0,,0,0,
Q192361,Ranieri Mazzilli,140,1961,1961,0,0,,0,0,,0,0,,0,0,
Q192361,Ranieri Mazzilli,140,1964,1964,0,0,,0,0,,0,0,,0,0,
Q294430,Castello Branco,140,1964,1967,2,1,Q136170134; Castelo Branco statue,0,0,,0,0,,0,0,
Q294241,Geisel,140,1974,1979,0,0,,0,0,,0,0,,0,0,
Q236503,Mello,140,1990,1992,0,0,,0,0,,0,0,,0,0,
Q485946,"Franco, Itamar",140,1992,1994,0,0,,0,0,,0,0,,0,0,
Q230578,Cardoso,140,1995,2003,0,0,,0,0,,0,0,,0,0,
Q40722,Rousseff,140,2011,2015,0,0,,0,0,,0,0,,0,0,
Q3306306,Urriolagoitia,145,1949,1951,0,0,,0,0,,0,0,,0,0,
Q886540,Siles Salinas,145,1969,1969,0,0,,0,0,,0,0,,0,0,
Q269039,Banzer Suarez,145,1971,1978,0,0,,0,0,,0,0,,0,0,
Q2566177,Pereda Asbun,145,1978,1978,0,0,,0,0,,0,0,,0,0,
Q886490,Natusch Busch,145,1979,1979,0,0,,0,0,,0,0,,0,0,
Q466098,Lidia Gueiler Tejada,145,1979,1980,0,0,,0,0,,1,0,Q134479468,0,0,
Q555207,Paz Zamora,145,1989,1993,0,0,,0,0,,0,0,,0,0,
Q379645,Gonzalo Sanchez de Lozada,145,1993,1997,0,0,,0,0,,0,0,,0,0,
Q269039,Banzer Suarez,145,1997,2001,0,0,,0,0,,0,0,,0,0,
Q468805,Jorge Quiroga Ramirez,145,2001,2002,0,0,,0,0,,0,0,,0,0,
Q379645,Gonzalo Sanchez de Lozada,145,2002,2003,0,0,,0,0,,0,0,,0,0,
Q312668,Carlos Mesa,145,2003,2005,0,0,,0,0,,0,0,,0,0,
Q628530,Frutos,150,1948,1948,0,0,,0,0,,0,0,,0,0,
Q888255,Molas Lopez,150,1949,1949,0,0,,0,0,,0,0,,0,0,
Q152534,Stroessner,150,1954,1989,0,0,,0,0,,0,0,,0,0,
Q440837,Rodriguez Pedotti,150,1989,1993,0,0,,0,0,,0,0,,0,0,
Q438594,Gonzalez Macchi,150,1999,2003,0,0,,0,0,,0,0,,0,0,
Q222652,Nicanor Duarte Frutos,150,2003,2008,0,0,,0,0,,0,0,,0,0,
Q151879,Fernando Lugo,150,2008,2012,0,0,,0,0,,0,0,,0,0,
Q57496,Federico Franco,150,2012,2013,0,0,,0,0,,0,0,,0,0,
Q5901842,Horacio Cartes,150,2013,2015,0,0,,0,0,,0,0,,0,0,
Q576,Alessandri Rodriguez,155,1958,1964,0,0,,0,0,,0,0,,0,0,
Q475,Frei Montalva,155,1964,1970,0,0,,0,0,,0,0,,0,0,
Q440,Allende,155,1970,1973,5,1,Q2467779; Q66605083; Q66605079; Q66605061; Q66605087,0,0,,0,0,,0,0,
Q368,Pinochet,155,1973,1990,0,0,,0,0,,0,0,,0,0,
Q335,Aylwin,155,1990,1994,0,0,,0,0,,0,0,,0,0,
Q331,Ricardo Lagos Escobar,155,2000,2006,0,0,,0,0,,0,0,,0,0,
Q320,Michelle Bachelet,155,2006,2010,0,0,,0,0,,0,0,,0,0,
Q306,Sebastian Piñera,155,2010,2014,0,0,,0,0,,0,0,,0,0,
Q320,Michelle Bachelet,155,2014,2015,0,0,,0,0,,0,0,,0,0,
Q365431,Lonardi,160,1955,1955,0,0,,0,0,,0,0,,0,0,
Q188974,Aramburu,160,1955,1958,0,0,,0,0,,1,0,Decree Law 4161/56,0,0,
Q346658,Frondizi,160,1958,1962,0,0,,0,0,,1,0,Petróleo y política,0,0,
Q270368,Arturo Illia,160,1963,1966,0,0,,0,0,,0,0,,0,0,
Q380980,Levingston,160,1970,1971,0,0,,0,0,,0,0,,0,0,
Q349261,Lastiri,160,1973,1973,0,0,,0,0,,0,0,,0,0,
