qid,leader,iso3,country_name,start_year,end_year,entry,exit,family_in_govt_count,family_in_govt_binary,family_in_govt_details,places_named_count,places_named_binary,places_named_details,grandiose_titles_count,grandiose_titles_binary,grandiose_titles_details
Q128985,MacMillan,GBR,UKG,1957,1963,Regular,Regular,2,1,Maurice Macmillan (child): Chief Secretary to the Treasury; Maurice Macmillan (child): Economic Secretary to the Treasury; Maurice Macmillan (child): Member of the Privy Council of the United Kingdom; Maurice Macmillan (child): member of the 41st Parliament of the United Kingdom; Maurice Macmillan (child): member of the 42nd Parliament of the United Kingdom; Maurice Macmillan (child): member of the 44th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 45th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 46th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 47th Parliament of the United Kingdom; Maurice Macmillan (child): member of the 48th Parliament of the United Kingdom,1,0,Rosa 'Harold Macmillan',4,1,The Right Honourable; Earl of Stockton; Viscount Macmillan of Ovenden; Supermac
Q128956,Wilson,GBR,UKG,1964,1970,Regular,Regular,1,0,"Mary Wilson, Baroness Wilson of Rievaulx (spouse): spouse of the prime minister of the United Kingdom; Mary Wilson, Baroness Wilson of Rievaulx (spouse): Booker Prize judge",0,0,,2,1,The Right Honourable; Baron Wilson
Q128967,Heath,GBR,UKG,1970,1974,Regular,Regular,0,0,,0,0,,1,1,The Right Honourable
Q128956,Wilson,GBR,UKG,1974,1976,Regular,Regular,1,0,"Mary Wilson, Baroness Wilson of Rievaulx (spouse): spouse of the prime minister of the United Kingdom; Mary Wilson, Baroness Wilson of Rievaulx (spouse): Booker Prize judge",0,0,,2,1,The Right Honourable; Baron Wilson
Q9576,Callaghan,GBR,UKG,1976,1979,Regular,Regular,2,1,"Margaret Jay, Baroness Jay of Paddington (child): Lord Privy Seal; Margaret Jay, Baroness Jay of Paddington (child): Leader of the House of Lords; Margaret Jay, Baroness Jay of Paddington (child): Minister for Women and Equalities; Margaret Jay, Baroness Jay of Paddington (child): member of the House of Lords; Margaret Jay, Baroness Jay of Paddington (child): Member of the Privy Council of the United Kingdom; Audrey Callaghan, Baroness Callaghan of Cardiff (spouse): spouse of the prime minister of the United Kingdom; Audrey Callaghan, Baroness Callaghan of Cardiff (spouse): member of London County Council",1,0,Callaghan Square,1,1,baron
Q7416,Thatcher,GBR,UKG,1979,1990,Regular,Regular,1,0,Denis Thatcher (spouse): spouse of the prime minister of the United Kingdom,7,1,"Thatcherism; Thatcher effect; Blatcherism; Plaza Margaret Thatcher, Madrid; Margaret Thatcher Foundation; Thatcher's Techbase; Tatxers",2,1,The Right Honourable; baron
Q9559,Major,GBR,UKG,1990,1997,Regular,Regular,1,0,Norma Major (spouse): spouse of the prime minister of the United Kingdom,0,0,,1,1,The Right Honourable
Q9545,Blair,GBR,UKG,1997,2007,Regular,Regular,1,0,Cherie Blair (spouse): spouse of the prime minister of the United Kingdom; Cherie Blair (spouse): King's Counsel; Cherie Blair (spouse): Chancellor of Liverpool John Moores University,4,1,Blairism; Blatcherism; Tonibler; Tony Blair Institute,1,1,The Right Honourable
Q381690,Costello,IRL,IRE,1948,1951,Regular,Regular,0,0,,0,0,,0,0,
Q381690,Costello,IRL,IRE,1954,1957,Regular,Regular,0,0,,0,0,,0,0,
Q381681,Lynch,IRL,IRE,1966,1973,Regular,Regular,0,0,,1,0,Jack Lynch Tunnel,0,0,
Q381681,Lynch,IRL,IRE,1977,1979,Regular,Regular,0,0,,1,0,Jack Lynch Tunnel,0,0,
Q333735,Haughey,IRL,IRE,1979,1981,Regular,Regular,1,0,Seán Haughey (child): Teachta Dála; Seán Haughey (child): senator of Ireland,0,0,,0,0,
Q1425313,Fitzgerald,IRL,IRE,1981,1982,Regular,Regular,1,0,Desmond FitzGerald (parent): Teachta Dála; Desmond FitzGerald (parent): Minister for Defence; Desmond FitzGerald (parent): Minister for Foreign Affairs (Ireland); Desmond FitzGerald (parent): senator of Ireland; Desmond FitzGerald (parent): member of the 31st Parliament of the United Kingdom,0,0,,0,0,
Q333735,Haughey,IRL,IRE,1982,1982,Regular,Regular,1,0,Seán Haughey (child): Teachta Dála; Seán Haughey (child): senator of Ireland,0,0,,0,0,
Q1425313,Fitzgerald,IRL,IRE,1982,1987,Regular,Regular,1,0,Desmond FitzGerald (parent): Teachta Dála; Desmond FitzGerald (parent): Minister for Defence; Desmond FitzGerald (parent): Minister for Foreign Affairs (Ireland); Desmond FitzGerald (parent): senator of Ireland; Desmond FitzGerald (parent): member of the 31st Parliament of the United Kingdom,0,0,,0,0,
Q333735,Haughey,IRL,IRE,1987,1992,Regular,Regular,1,0,Seán Haughey (child): Teachta Dála; Seán Haughey (child): senator of Ireland,0,0,,0,0,
Q735519,Beel,NLD,NTH,1946,1948,Regular,Regular,0,0,,1,0,L.J.M. Beelstraat,0,0,
Q12769,Drees,NLD,NTH,1948,1958,Regular,Regular,1,0,"Willem Drees jr. (child): treasurer general; Willem Drees jr. (child): Minister of Transport, Public Works and Water Management; Willem Drees jr. (child): member of the House of Representatives of the Netherlands; Willem Drees jr. (child): municipal councillor of The Hague",9,1,Doctor Dreesflat; Dr. Willem Dreesstraat; Doctor Willem Dreesstraat; Doctor Willem Dreesstraat; Dr. Willem Dreesstraat; Dreesstraat; W. Dreesstraat; Willem Dreeslaan; Willem Dreesplantsoen,0,0,
Q735519,Beel,NLD,NTH,1958,1959,Regular,Regular,0,0,,1,0,L.J.M. Beelstraat,0,0,
Q781813,de Quay,NLD,NTH,1959,1963,Regular,Regular,0,0,,2,1,de Quaylaan; Jan de Quaystraat,0,0,
Q719701,Marijnen,NLD,NTH,1963,1965,Regular,Regular,0,0,,0,0,,0,0,
Q736026,Cals,NLD,NTH,1965,1966,Regular,Regular,0,0,,2,1,Calslaan; J. Calsstraat,0,0,
Q380970,Zijlstra,NLD,NTH,1966,1967,Regular,Regular,0,0,,0,0,,0,0,
Q345481,De Jong,NLD,NTH,1967,1971,Regular,Regular,0,0,,0,0,,2,1,Pietje; Hare Majesteits eigen tuinkabouter
Q471204,Biesheuvel,NLD,NTH,1971,1973,Regular,Regular,0,0,,1,0,Staatscommissie-Biesheuvel,0,0,
Q318320,den Uyl,NLD,NTH,1973,1977,Regular,Regular,2,1,Saskia Noorman-den Uyl (child): member of the House of Representatives of the Netherlands; Saskia Noorman-den Uyl (child): municipal executive of Heemstede; Saskia Noorman-den Uyl (child): municipal councillor of Heemstede; Xander den Uyl (child): member of the States-Provincial of North Holland,7,1,Q13571862; Dr. J.M. den Uylbrug; Dr Joop den Uylstraat; J.M. den Uylstraat; J.M. den Uylstraat; Joop den Uyl Plantsoen; Joop den Uylstraat,0,0,
Q318334,van Agt,NLD,NTH,1977,1982,Regular,Regular,0,0,,0,0,,0,0,
Q159840,Lubbers,NLD,NTH,1982,1994,Regular,Regular,0,0,,0,0,,0,0,
Q221411,Kok,NLD,NTH,1994,2002,Regular,Regular,0,0,,1,0,Q3203635,0,0,
Q133386,Jan Peter Balkenende,NLD,NTH,2002,2010,Regular,Regular,0,0,,1,0,Q3041446,0,0,
Q313809,Martens,BEL,BEL,1979,1981,Regular,Regular,1,0,Miet Smet (spouse): Member of the European Parliament; Miet Smet (spouse): member of the Flemish Parliament; Miet Smet (spouse): member of the Chamber of Representatives of Belgium; Miet Smet (spouse): Senator of Belgium; Miet Smet (spouse): substitute member of the Parliamentary Assembly of the Council of Europe,2,1,Wilfried Martens Centre for European Studies; Wilfried Martens,0,0,
Q349477,"Eyskens, M.",BEL,BEL,1981,1981,Regular,Regular,1,0,Gaston Eyskens (parent): Prime Minister of Belgium; Gaston Eyskens (parent): directly elected senator; Gaston Eyskens (parent): member of the Flemish Parliament; Gaston Eyskens (parent): member of the Chamber of Representatives of Belgium,0,0,,0,0,
Q313809,Martens,BEL,BEL,1981,1992,Regular,Regular,1,0,Miet Smet (spouse): Member of the European Parliament; Miet Smet (spouse): member of the Flemish Parliament; Miet Smet (spouse): member of the Chamber of Representatives of Belgium; Miet Smet (spouse): Senator of Belgium; Miet Smet (spouse): substitute member of the Parliamentary Assembly of the Council of Europe,2,1,Wilfried Martens Centre for European Studies; Wilfried Martens,0,0,
Q945927,Dupong,LUX,LUX,1945,1953,Regular,Natural Death,1,0,Jean Dupong (child): Deputy of the Chamber of Deputies of Luxembourg; Jean Dupong (child): minister for Justice; Jean Dupong (child): Member of the Council of State; Jean Dupong (child): president of the Council of State,0,0,,0,0,
Q315685,Bech,LUX,LUX,1953,1958,Regular,Regular,0,0,,3,1,Joseph Bechlaan; Pont Joseph-Bech; Q134417903,1,1,Excellency
Q706106,Frieden,LUX,LUX,1958,1959,Regular,Natural Death,0,0,,1,0,Boulevard Pierre-Frieden (Kirchberg),0,0,
Q315661,Werner,LUX,LUX,1959,1974,Regular,Regular,0,0,,4,1,Werner Plan; Institut Pierre Werner; Q13104663; Centre administratif Pierre Werner,0,0,
Q295128,Thorn G.,LUX,LUX,1974,1979,Regular,Regular,0,0,,0,0,,0,0,
Q315661,Werner,LUX,LUX,1979,1984,Regular,Regular,0,0,,4,1,Werner Plan; Institut Pierre Werner; Q13104663; Centre administratif Pierre Werner,0,0,
Q39659,Santer,LUX,LUX,1984,1995,Regular,Regular,1,0,Patrick Santer (child): Deputy of the Chamber of Deputies of Luxembourg; Patrick Santer (child): Member of the Council of State,1,0,rue Jacques Santer,0,0,
Q312026,Bidault,FRA,FRN,1946,1946,Regular,Regular,0,0,,0,0,,0,0,
Q328235,Ramadier,FRA,FRN,1947,1947,Regular,Regular,0,0,,1,0,Q119895604,0,0,
Q15981,Schuman,FRA,FRN,1947,1948,Regular,Regular,0,0,,101,1,Schuman Declaration; Brussels-Schuman Station; Robert Schuman Prize; Schuman-Josaphat tunnel; Robert Schuman Gymnasium; Robert Schuman Roundabout; Robert-Schuman-Platz; Schuman tunnel; avenue Robert-Schuman; Schuman Bridge; Robert Schuman Square; Robert Schuman University; Robert Schuman Medal; Aleja Roberta Schumana; Radom Academy of Social and Technical Sciences; Robert Schuman Lyceum; Polska Fundacja im. Roberta Schumana; Professional Hichschool of Economics; Q13104668; Robert-Schuman Monument,1,1,Venerable
Q15981,Schuman,FRA,FRN,1948,1948,Regular,Regular,0,0,,101,1,Schuman Declaration; Brussels-Schuman Station; Robert Schuman Prize; Schuman-Josaphat tunnel; Robert Schuman Gymnasium; Robert Schuman Roundabout; Robert-Schuman-Platz; Schuman tunnel; avenue Robert-Schuman; Schuman Bridge; Robert Schuman Square; Robert Schuman University; Robert Schuman Medal; Aleja Roberta Schumana; Radom Academy of Social and Technical Sciences; Robert Schuman Lyceum; Polska Fundacja im. Roberta Schumana; Professional Hichschool of Economics; Q13104668; Robert-Schuman Monument,1,1,Venerable
Q455655,Queuille,FRA,FRN,1948,1949,Regular,Regular,0,0,,1,0,place Henri-Queuille,0,0,
Q312026,Bidault,FRA,FRN,1949,1950,Regular,Regular,0,0,,0,0,,0,0,
Q455655,Queuille,FRA,FRN,1950,1950,Regular,Regular,0,0,,1,0,place Henri-Queuille,0,0,
Q455655,Queuille,FRA,FRN,1951,1951,Regular,Regular,0,0,,1,0,place Henri-Queuille,0,0,
Q327013,Faure,FRA,FRN,1952,1952,Regular,Regular,0,0,,3,1,Edgar Faure Award; rue Edgar-Faure; Q125783676,0,0,
Q356724,Pinay,FRA,FRN,1952,1952,Regular,Regular,0,0,,0,0,,0,0,
Q328240,Laniel,FRA,FRN,1953,1954,Regular,Regular,1,0,Henri Laniel (parent): mayor of a place in France; Henri Laniel (parent): member of the French National Assembly,0,0,,0,0,
Q327013,Faure,FRA,FRN,1955,1956,Regular,Regular,0,0,,3,1,Edgar Faure Award; rue Edgar-Faure; Q125783676,0,0,
Q314006,Mollet,FRA,FRN,1956,1957,Regular,Regular,0,0,,3,1,Q119932197; Q125787807; Q125840531,0,0,
Q328504,Pflimin,FRA,FRN,1958,1958,Regular,Regular,0,0,,6,1,Pierre Pflimlin Bridge; Q112032182; Q119646236; Q119908281; Q119908739; Pierre Pflimlin Building,0,0,
Q2042,De Gaulle,FRA,FRN,1958,1969,Regular,Regular,4,1,Philippe de Gaulle (child): Senator of the French Fifth Republic; Philippe de Gaulle (child): Inspector general de la Marina Francesa.; Élisabeth de Gaulle (child): president; Yvonne de Gaulle (spouse): spouse of the President of France; Pierre de Gaulle (sibling): member of the French National Assembly; Pierre de Gaulle (sibling): Senator of the French Fourth Republic,346,1,Paris-Charles de Gaulle Airport; Adenauer-de Gaulle Prize; place Charles-de-Gaulle; Charles de Gaulle; gaullism; pont Charles-de-Gaulle; Charles de Gaulle Roundabout in Warsaw; Roubaix - Charles-de-Gaulle; Charles De Goal; Q2404439; Charles-de-Gaulle - Étoile; avenue Charles-de-Gaulle; boulevard du Général-de-Gaulle; Charles de Gaulle; Cours de la Libération-et-du-Général-de-Gaulle; esplanade Charles de Gaulle; esplanade Charles-de-Gaulle; Fondation Charles-de-Gaulle; Stade Charles de Gaulle; Lycee Francais Charles de Gaulle,0,0,
Q12950,Poher,FRA,FRN,1969,1969,Regular,Regular,0,0,,1,0,Q27797594,0,0,
Q2185,Pompidou,FRA,FRN,1969,1974,Regular,Natural Death,2,1,"Alain Pompidou (child): Member of the European Parliament; Alain Pompidou (child): member of the French Economic, Social and Environmental Council; Claude Pompidou (spouse): spouse of the President of France",73,1,Centre Georges Pompidou; Centre Pompidou-Metz; Georges Pompidou European Hospital; Q3269143; place Georges-Pompidou; Stade Georges Pompidou; Voie Georges-Pompidou; The Co-operation Group to Combat Drug Abuse and Illicit Trafficking in Drugs; Bibliothèque Georges-Pompidou; Centre Pompidou Málaga; Institut Georges Pompidou; boulevard Georges-Pompidou; Lycée Français International Georges Pompidou; Boulevard Georges Pompidou; avenue Georges-Pompidou; Q27797259; Q27797604; Q27813884; chaussée Georges Pompidou; Q27836050,0,0,
Q12950,Poher,FRA,FRN,1974,1974,Regular,Regular,0,0,,1,0,Q27797594,0,0,
Q2105,Chirac,FRA,FRN,1995,2007,Regular,Regular,2,1,Claude Chirac (child): president; Claude Chirac (child): municipal executive; Bernadette Chirac (spouse): president; Bernadette Chirac (spouse): spouse of the President of France; Bernadette Chirac (spouse): member of the general council,21,1,Musée du quai Branly; Fondation Chirac; Musée du Président Jacques Chirac; prix pour la prévention des conflits de la Fondation Chirac; Médiathèque de l'agglomération troyenne; Q68803335; Q87795099; Q105736172; Quai Jacques-Chirac; Jacques Chirac Esplanade; Q107353001; place Jacques Chirac; Boulevard Jacques-Chirac; rue Jacques Chirac; Esplanade Jacques Chirac; parvis Jacques Chirac; esplanade Jacques Chirac; Q119911142; avenue Jacques Chirac; avenue Jacques-Chirac,1,1,bison égocentrique
Q310870,Caetano,PRT,POR,1968,1974,Regular,Irregular,0,0,,1,0,Samora Machel Bridge,0,0,
Q2492,Adenauer,DEU,GFR,1949,1963,Regular,Regular,0,0,,93,1,Cologne Bonn Airport; Konrad Adenauer Foundation; Q355856; Adenauer-de Gaulle Prize; Adenauer era; Adenauerallee; Adenauerplatz; Adenauervilla; Literaturpreis der Konrad-Adenauer-Stiftung; Konrad Adenauer Award; Q1285134; Konrad-Adenauer-Brücke; Konrad-Adenauer-Haus; Konrad-Adenauer-Brücke; Konrad-Adenauer-Brücke; Stiftung Bundeskanzler-Adenauer-Haus; Konrad-Adenauer-Brücke; Konrad Adenauer Bridge; Konrad-Adenauer-Brücke; Konrad-Adenauer-Gymnasium,1,1,Der Alte
Q2496,Erhard,DEU,GFR,1963,1966,Regular,Regular,0,0,,29,1,"Q1421477; Fürther Ludwig Erhard Award; Ludwig Erhard Vocational College; Ludwig Erhard School, Pforzheim; Ludwig-Erhard-Stiftung; Ludwig-Erhard-Allee; Ludwig-Erhard-Ufer; Ludwig-Erhard-Platz; Ludwig-Erhard-Straße; Ludwig-Erhard-Ring; Ludwig-Erhard-Anlage; Ludwig-Erhard-Straße; Ludwig-Erhard-Allee; Ludwig Erhard School, Mosbach; Ludwig Erhard Prize for Publications in Economics; Q126218733; Ludwig Erhard Vocational College, Paderborn; Ludwig Erhard Vocational College, Münster; Regional Vocational Training Centre for Economics, Kiel; Ludwig Erhard School, Schweinfurt",0,0,
Q2512,Kiesinger,DEU,GFR,1966,1969,Regular,Regular,0,0,,2,1,Kurt-Georg-Kiesinger-Allee; Q114943639,0,0,
Q2514,Brandt,DEU,GFR,1969,1974,Regular,Regular,0,0,,66,1,Berlin Brandenburg Airport; Willy Brandts Park; Willy-Brandt-Haus; Federal Chancellor Willy Brandt Foundation; Willy Brandt Prize; Willy-Brandt-Platz; Willy-Brandt-Platz; Q1325888; Willy-Brandt-school; Willy Brandt House; Willy Brandt Medaille; Willy-Brandt-Platz; Willy-Brandt-Platz; Willy-Brandt-Platz; Willy-Brandt-Schule; Willy Brandt Center Jerusalem; Pont Willy-Brandt; square de Berlin; Brandt Report; Willy Brandt Square,0,0,
Q2516,Schmidt,DEU,GFR,1974,1982,Regular,Regular,0,0,,9,1,Hamburg Airport; Helmut Schmidt University; Q1603320; Helmut Schmidt Prize for German-American Economic History; Rosa 'Helmut Schmidt'; Federal Chancellor Helmut Schmidt Foundation; Helmut-Schmidt-Platz; Helmut-Schmidt-Zukunftspreis; Helmut Schmidt School,1,1,Schmidt Schnauze
Q2518,Kohl,DEU,GFR,1982,1998,Regular,Regular,0,0,,6,1,Helmut-Kohl-Allee; Rosa 'Helmut Kohl Rose'; Helmut-Kohl-Straße; Helmut-Kohl-Straße; Helmut-Kohl-Straße; Helmut-Kohl-Allee,2,1,Bimbeskanzler; Kanzler der Einheit
Q65917,Wilhelm Pieck,DEU,GDR,1946,1950,Irregular,Regular,1,0,Eleonore Staimer (child): ambassador of East Germany,52,1,Greif; Torstraße; Kulturhaus Wilhelm Pieck; Waldbühne Schwarzenberg; Pieck Range; Gymnázium Christiana Dopplera; Kulturpalast Bitterfeld; Kulturhaus Wilhelm Pieck; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Kulturhaus Dorndorf; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße; Wilhelm-Pieck-Straße,0,0,
Q2628,Ulbricht,DEU,GDR,1950,1971,Regular,Regular,0,0,,4,1,Ulbricht Group; Stadion der Weltjugend; Ulbricht Doctrine; Q131407104,0,0,
Q2607,Honecker,DEU,GDR,1971,1989,Regular,Regular,2,1,Margot Honecker (spouse): member of the Volkskammer; Margot Honecker (spouse): Minister of Education of the German Democratic Republic; Edith Baumann (spouse): member of the Volkskammer,1,0,Q123374765,0,0,
Q2602,Krenz,DEU,GDR,1989,1989,Regular,Regular,0,0,,0,0,,0,0,
Q545740,Ochab,POL,POL,1956,1956,Regular,Regular,1,0,Stanisław Ochab (sibling): member of the Sejm of the Polish People's Republic,0,0,,0,0,
Q312185,Gierek,POL,POL,1970,1980,Regular,Natural Death,2,1,Adam Gierek (child): Member of the European Parliament; Adam Gierek (child): Representative of the Parliamentary Assembly of the Council of Europe; Adam Gierek (child): Member of the Senate of the Republic of Poland; Stanisława Gierek (spouse): First Lady of Poland,1,0,Gierkówka,0,0,
Q55834,Jaruzelski,POL,POL,1981,1990,Regular,Regular,2,1,Q15188000 (child): council member; Barbara Jaruzelska (spouse): First Lady of Poland,0,0,,0,0,
Q11726,Renner,AUT,AUS,1945,1945,Irregular,Regular,0,0,,9,1,Dr.-Karl-Renner-Hof; Dr.-Karl-Renner journalism award; Doktor-Karl-Renner-Institut; Karl Renner Prize; Dr.-Karl-Renner-Ring; Villa Renner Gloggnitz; Gloggnitz Dr.-Karl-Renner-Brücke; Q112260670; Karl-Renner-Straße,0,0,
Q29008,Gorbach,AUT,AUS,1961,1964,Regular,Regular,0,0,,1,0,Gorbachplatz,0,0,
Q241131,Klaus,AUT,AUS,1964,1970,Regular,Regular,0,0,,0,0,,0,0,
Q44517,Kreisky,AUT,AUS,1970,1983,Regular,Regular,0,0,,7,1,Bruno Kreisky Award for Services to Human Rights; Bruno-Kreisky-Park; Bruno Kreisky Prize for the Political Book; Bruno Kreisky Forum for International Dialogue; Kreisky–Peter–Wiesenthal affair; Bruno-Kreisky-Gasse; Kreiskystraße,0,0,
Q158123,Vranitzky,AUT,AUS,1986,1997,Regular,Regular,0,0,,0,0,,0,0,
Q78538,Klima,AUT,AUS,1997,2000,Regular,Regular,0,0,,0,0,,0,0,
Q177917,Nagy,HUN,HUN,1956,1956,Irregular,Foreign,0,0,,2,1,Nagy Imre Order of Merit; Nagy Imre commemorative plaquette,0,0,
Q155684,Horn,HUN,HUN,1994,1998,Regular,Regular,0,0,,1,0,Q117286360,0,0,
Q296054,Gottwald,CZE,CZE,1948,1953,Regular,Natural Death,0,0,,9,1,Berliner Allee; Order of Klement Gottwald; Klement Gottwald State Prize; Vojenská politická akademie Klementa Gottwalda; Q30235632; Klementa Gotwalda street; GDM Kladno; Q108898458; Bridge of Jan Palach,0,0,
Q241131,Klaus,CZE,CZR,1993,1997,Regular,Regular,0,0,,0,0,,0,0,
Q348896,Stanislav Gross,CZE,CZR,2004,2005,Regular,Regular,0,0,,1,0,Stanislav Gross's cabinet,0,0,
Q471315,Parri,ITA,ITA,1945,1945,Regular,Regular,0,0,,5,1,Ferruccio Parri National Institute; Biblioteca comunale Ferruccio Parri; Q114564208; Tomb of Ferruccio Parri; Via Ferruccio Parri,0,0,
Q153832,de Gasperi,ITA,ITA,1945,1953,Regular,Regular,0,0,,23,1,"Alcide de Gasperi Building; De Gasperistraat; De Gasperistraat; Scuola primaria Alcide De Gasperi di Villa Estense; Scuola primaria Alcide De Gasperi di Pedara; Scuola primaria Alcide De Gasperi di Putignano; Scuola primaria Alcide De Gasperi di Abetone Cutigliano; Scuola primaria Alcide De Gasperi di San Vito Romano; Alcide De Gasperi School; Scuola primaria Alcide De Gasperi di Agnosine; Scuola primaria Alcide De Gasperi di San Pietro Vernotico; Scuola primaria Alcide De Gasperi di Piacenza; Scuola primaria Alcide De Gasperi di Roma; De Gasperilaan, Woerden; Fondazione Trentina Alcide De Gasperi; Piazza De Gasperi; Biblioteca Comunale Alcide De Gasperi; Biblioteca comunale ""Alcide De Gasperi"" di Cellatica; Fondazione Alcide De Gasperi; Q132301634",1,1,Servant of God
Q320963,Pella,ITA,ITA,1953,1954,Regular,Regular,0,0,,0,0,,0,0,
Q273228,Fanfani,ITA,ITA,1954,1954,Regular,Regular,0,0,,0,0,,0,0,
Q367342,Scelba,ITA,ITA,1954,1955,Regular,Regular,0,0,,1,0,Legge Scelba,0,0,
Q1240,Segni,ITA,ITA,1955,1957,Regular,Regular,1,0,Mario Segni (child): Member of the European Parliament; Mario Segni (child): member of the Chamber of Deputies of the Italian Republic,4,1,"Giardino Alpino ""Antonio Segni""; Antonio Segni Ozieri; Fondazione Antonio Segni, Sassari (SS); Biblioteca Comunale Antonio Segni",0,0,
Q366104,Zoli,ITA,ITA,1957,1958,Regular,Regular,1,0,Giancarlo Zoli (child): mayor of Florence,1,0,Adone Zoli primary school,0,0,
Q273228,Fanfani,ITA,ITA,1958,1959,Regular,Regular,0,0,,0,0,,0,0,
Q1240,Segni,ITA,ITA,1959,1960,Regular,Regular,1,0,Mario Segni (child): Member of the European Parliament; Mario Segni (child): member of the Chamber of Deputies of the Italian Republic,4,1,"Giardino Alpino ""Antonio Segni""; Antonio Segni Ozieri; Fondazione Antonio Segni, Sassari (SS); Biblioteca Comunale Antonio Segni",0,0,
Q314004,Tambroni,ITA,ITA,1960,1960,Regular,Regular,0,0,,0,0,,0,0,
Q273228,Fanfani,ITA,ITA,1960,1963,Regular,Regular,0,0,,0,0,,0,0,
Q1235,Leone,ITA,ITA,1963,1963,Regular,Regular,1,0,Carlo Leone (sibling): president of Campania,1,0,Q108348207,0,0,
Q171834,Moro,ITA,ITA,1963,1968,Regular,Regular,1,0,Maria Fida Moro (child): member of the Senate of the Italian Republic,174,1,Ponte Punta Penna Pizzone; University of Bari; Strada sopraelevata di Genova; Aldo Moro - Il presidente; A. Morostraat; SMS Aldo Moro; Casalnuovo IC Aldo Moro Mennella; Aldo Moro - Arsago Seprio -; Due Carrare A. Moro; R.Moro - 15 C.D.Bari; Aldo Moro; I.C. Nichelino Iv-A. Moro; Aldo Moro; Senigallia Aldo Moro; Via Aldo Moro; Istituto Comprensivo Aldo Moro; Afragola 3 - Aldo Moro; Scuola primaria Aldo Moro di Offlaga; Moro; Istituto Comprensivo Aldo Moro,0,0,
Q1235,Leone,ITA,ITA,1968,1968,Regular,Regular,1,0,Carlo Leone (sibling): president of Campania,1,0,Q108348207,0,0,
Q316288,Rumor,ITA,ITA,1968,1970,Regular,Regular,0,0,,0,0,,0,0,
Q312058,Colombo,ITA,ITA,1970,1972,Regular,Regular,1,0,Pasquale Colombo (sibling): Questore; Pasquale Colombo (sibling): prefect of Grosseto,0,0,,0,0,
Q50005,Andreotti,ITA,ITA,1972,1973,Regular,Regular,1,0,Lamberto Andreotti (child): chief executive officer,0,0,,0,0,
Q316288,Rumor,ITA,ITA,1973,1974,Regular,Regular,0,0,,0,0,,0,0,
Q171834,Moro,ITA,ITA,1974,1976,Regular,Regular,1,0,Maria Fida Moro (child): member of the Senate of the Italian Republic,174,1,Ponte Punta Penna Pizzone; University of Bari; Strada sopraelevata di Genova; Aldo Moro - Il presidente; A. Morostraat; SMS Aldo Moro; Casalnuovo IC Aldo Moro Mennella; Aldo Moro - Arsago Seprio -; Due Carrare A. Moro; R.Moro - 15 C.D.Bari; Aldo Moro; I.C. Nichelino Iv-A. Moro; Aldo Moro; Senigallia Aldo Moro; Via Aldo Moro; Istituto Comprensivo Aldo Moro; Afragola 3 - Aldo Moro; Scuola primaria Aldo Moro di Offlaga; Moro; Istituto Comprensivo Aldo Moro,0,0,
Q50005,Andreotti,ITA,ITA,1976,1979,Regular,Regular,1,0,Lamberto Andreotti (child): chief executive officer,0,0,,0,0,
Q1230,Cossiga,ITA,ITA,1979,1980,Regular,Regular,1,0,Giuseppe Cossiga (child): member of the Chamber of Deputies of the Italian Republic,1,0,Q3889099,0,0,
Q434786,Forlani,ITA,ITA,1980,1981,Regular,Regular,1,0,Alessandro Forlani (child): member of the Senate of the Italian Republic; Alessandro Forlani (child): member of the Chamber of Deputies of the Italian Republic,0,0,,0,0,
Q332709,Spadolini,ITA,ITA,1981,1982,Regular,Regular,0,0,,2,1,Fondazione Spadolini Nuova Antologia; Grave of Giovanni Spadolini,0,0,
Q273228,Fanfani,ITA,ITA,1982,1983,Regular,Regular,0,0,,0,0,,0,0,
Q192818,Craxi,ITA,ITA,1983,1987,Regular,Regular,2,1,Stefania Craxi (child): member of the Senate of the Italian Republic; Stefania Craxi (child): member of the Chamber of Deputies of the Italian Republic; Bobo Craxi (child): member of the Chamber of Deputies of the Italian Republic,2,1,"Craxism; Biblioteca Comunale del ""600 ""B. Craxi""",1,1,Bettino
Q273228,Fanfani,ITA,ITA,1987,1987,Regular,Regular,0,0,,0,0,,0,0,
Q336259,Goria,ITA,ITA,1987,1988,Regular,Regular,0,0,,0,0,,0,0,
Q50005,Andreotti,ITA,ITA,1989,1992,Regular,Regular,1,0,Lamberto Andreotti (child): chief executive officer,0,0,,0,0,
Q202209,Amato,ITA,ITA,1992,1993,Regular,Regular,0,0,,0,0,,0,0,
Q1224,Ciampi,ITA,ITA,1993,1994,Regular,Regular,0,0,,0,0,,0,0,
