obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,gender,yrborn,yrdied,dbpedia_clean,fties,ftcur,start_year,end_year
BHM-1992,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,31,BHM,Ingraham,1992-08-21,2002-05-03,Regular,Regular,Regular,M,1947,-777,http://dbpedia.org/resource/Hubert_Ingraham,NA,NA,1992,2002
BHM-2002,81deda9d-1e42-11e4-b4cd-db5882bf8def,31,BHM,Christie,2002-05-03,2005-05-04,Regular,Regular,Regular,M,1943,-777,,NA,NA,2002,2005
BHM-2005-1,824ff7ff-1e42-11e4-b4cd-db5882bf8def,31,BHM,Cynthia A. Pratt,2005-05-04,2005-06-22,Regular,Regular,Regular,F,1943,-777,,NA,NA,2005,2005
BHM-2005-2,81deda9d-1e42-11e4-b4cd-db5882bf8def,31,BHM,Christie,2005-06-22,2007-05-04,Regular,Regular,Regular,M,1943,-777,,NA,NA,2005,2007
BHM-2007,3500baa8-3bbd-11e5-afeb-eb6f07f9fec7,31,BHM,Ingraham,2007-05-04,2012-05-08,Regular,Regular,Regular,M,1947,-777,,NA,NA,2007,2012
BHM-2012,81deda9d-1e42-11e4-b4cd-db5882bf8def,31,BHM,Christie,2012-05-08,2015-12-31,Regular,Still in Office,Still in Office,M,1943,-777,,NA,NA,2012,2015
CUB-1948,81df3c48-1e42-11e4-b4cd-db5882bf8def,40,CUB,Prio Socarres,1948-10-10,1952-03-10,Regular,Irregular,"Removed by Military, without Foreign Support",M,1903,1977,http://dbpedia.org/resource/Carlos_Pr-25C3-25ADo_Socarr-25C3-25A1s,NA,NA,1948,1952
CUB-1952,81df3c47-1e42-11e4-b4cd-db5882bf8def,40,CUB,Batista,1952-03-10,1959-01-01,Irregular,Irregular,"Removed by Rebels, without Foreign Support",M,1901,1973,http://dbpedia.org/resource/Fulgencio_Batista,NA,NA,1952,1959
CUB-1959,81df6d18-1e42-11e4-b4cd-db5882bf8def,40,CUB,Castro,1959-01-02,2008-02-24,Irregular,Retired Due to Ill Health,Regular,M,1927,-777,,Brother of Raul Castro%824ff801-1e42-11e4-b4cd-db5882bf8def,0,1959,2008
CUB-2008,824ff801-1e42-11e4-b4cd-db5882bf8def,40,CUB,Raul Castro,2008-02-24,2015-12-31,Regular,Still in Office,Still in Office,M,1931,-777,,Brother of Castro%81df6d18-1e42-11e4-b4cd-db5882bf8def,NA,2008,2015
HAI-1946-1,81dfffa2-1e42-11e4-b4cd-db5882bf8def,41,HAI,Lavaud,1946-01-11,1946-08-16,Irregular,Regular,Regular,M,1903,1986,,NA,NA,1946,1946
HAI-1946-2,81e03072-1e42-11e4-b4cd-db5882bf8def,41,HAI,Estime,1946-08-16,1950-05-10,Regular,Irregular,"Removed by Military, without Foreign Support",M,1900,1953,http://dbpedia.org/resource/Dumarsais_Estim-25C3-25A9,NA,NA,1946,1950
HAI-1950,81e03073-1e42-11e4-b4cd-db5882bf8def,41,HAI,Magloire,1950-05-10,1956-12-12,Regular,Irregular,"Removed by Military, without Foreign Support",M,1907,2001,http://dbpedia.org/resource/Paul_Magloire,NA,NA,1950,1956
HAI-1956,81e03074-1e42-11e4-b4cd-db5882bf8def,41,HAI,Pierre-Louis,1956-12-12,1957-02-03,Regular,Irregular,"Removed by Military, without Foreign Support",M,1900,1966,,NA,NA,1956,1957
HAI-1957-1,81e03075-1e42-11e4-b4cd-db5882bf8def,41,HAI,Sylvain,1957-02-07,1957-04-02,Regular,Irregular,"Removed by Military, without Foreign Support",M,1909,1987,,NA,NA,1957,1957
HAI-1957-2,81e03076-1e42-11e4-b4cd-db5882bf8def,41,HAI,Cantave,1957-04-02,1957-04-06,Irregular,Regular,Regular,M,1910,1967,,NA,NA,1957,1957
HAI-1957-3,81e03077-1e42-11e4-b4cd-db5882bf8def,41,HAI,Executive council,1957-04-06,1957-05-20,Regular,Regular,Regular,M,-999,-999,,NA,NA,1957,1957
HAI-1957-4,81e03076-1e42-11e4-b4cd-db5882bf8def,41,HAI,Cantave,1957-05-20,1957-05-26,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1910,1967,,NA,NA,1957,1957
HAI-1957-5,81e06146-1e42-11e4-b4cd-db5882bf8def,41,HAI,Fignole,1957-05-26,1957-06-14,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1914,1986,,NA,NA,1957,1957
HAI-1957-6,81e06147-1e42-11e4-b4cd-db5882bf8def,41,HAI,Kebreau,1957-06-14,1957-10-15,Irregular,Regular,Regular,M,1909,1962,http://dbpedia.org/resource/Antonio_Thrasybule_Kebreau,NA,NA,1957,1957
HAI-1957-7,81e06148-1e42-11e4-b4cd-db5882bf8def,41,HAI,"Duvalier, Francois",1957-10-15,1971-04-22,Regular,Natural Death,Regular,M,1907,1971,http://dbpedia.org/resource/Fran-25C3-25A7ois_Duvalier,"Father of Duvalier, Jean-Claude%81e06149-1e42-11e4-b4cd-db5882bf8def",0,1957,1971
HAI-1971,81e06149-1e42-11e4-b4cd-db5882bf8def,41,HAI,"Duvalier, Jean-Claude",1971-04-22,1986-02-07,Regular,Irregular,"Removed by Military, without Foreign Support",M,1951,-777,http://dbpedia.org/resource/Jean-2DClaude_Duvalier,"Son of Duvalier, Francois%81e06148-1e42-11e4-b4cd-db5882bf8def",NA,1971,1986
HAI-1986,81e0614a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Namphy,1986-02-07,1988-02-07,Irregular,Regular,Regular,M,1932,-777,http://dbpedia.org/resource/Henri_Namphy,NA,NA,1986,1988
HAI-1988-1,81e0921a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Manigat,1988-02-07,1988-06-20,Regular,Irregular,"Removed by Military, without Foreign Support",M,1930,-777,http://dbpedia.org/resource/Leslie_Manigat,NA,NA,1988,1988
HAI-1988-2,81e0614a-1e42-11e4-b4cd-db5882bf8def,41,HAI,Namphy,1988-06-20,1988-09-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1932,-777,http://dbpedia.org/resource/Henri_Namphy,NA,NA,1988,1988
HAI-1988-3,81e0921b-1e42-11e4-b4cd-db5882bf8def,41,HAI,Avril,1988-09-17,1990-03-10,Irregular,Irregular,"Popular Protest, without Foreign Support",M,1938,-777,,NA,NA,1988,1990
HAI-1990-1,81e0921c-1e42-11e4-b4cd-db5882bf8def,41,HAI,Abraham,1990-03-10,1990-03-13,Regular,Regular,Regular,M,1940,-777,http://dbpedia.org/resource/H-25C3-25A9rard_Abraham,NA,NA,1990,1990
HAI-1990-2,81e0921d-1e42-11e4-b4cd-db5882bf8def,41,HAI,Pascal-Troillet,1990-03-13,1991-02-07,Regular,Regular,Regular,F,1943,-777,http://dbpedia.org/resource/Ertha_Pascal-2DTrouillot,NA,NA,1990,1991
HAI-1991-1,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Aristide,1991-02-07,1991-09-30,Regular,Irregular,"Removed by Military, without Foreign Support",M,1953,-777,http://dbpedia.org/resource/Jean-2DBertrand_Aristide,NA,NA,1991,1991
HAI-1991-2,81e0c2ee-1e42-11e4-b4cd-db5882bf8def,41,HAI,Cedras,1991-09-30,1994-10-14,Irregular,Foreign,Removed through Threat of Foreign Force,M,1949,-777,,NA,NA,1991,1994
HAI-1994,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Aristide,1994-10-15,1996-02-07,Foreign Imposition,Regular,Regular,M,1953,-777,http://dbpedia.org/resource/Jean-2DBertrand_Aristide,NA,NA,1994,1996
HAI-1996,81e0c2ef-1e42-11e4-b4cd-db5882bf8def,41,HAI,Preval,1996-02-07,2001-02-07,Regular,Regular,Regular,M,1943,-777,http://dbpedia.org/resource/Ren-25C3-25A9_Pr-25C3-25A9val,NA,NA,1996,2001
HAI-2001,81e0921e-1e42-11e4-b4cd-db5882bf8def,41,HAI,Aristide,2001-02-08,2004-02-29,Regular,Irregular,"Removed by Rebels, with Foreign Support",M,1953,-777,http://dbpedia.org/resource/Jean-2DBertrand_Aristide,NA,NA,2001,2004
HAI-2004,81e0c2f0-1e42-11e4-b4cd-db5882bf8def,41,HAI,Boniface Alexandre,2004-02-29,2006-05-14,Regular,Regular,Regular,M,1936,-777,,NA,NA,2004,2006
HAI-2006,81e0c2ef-1e42-11e4-b4cd-db5882bf8def,41,HAI,Preval,2006-05-14,2011-05-14,Regular,Regular,Regular,M,1943,-777,,NA,NA,2006,2011
HAI-2011,824ff802-1e42-11e4-b4cd-db5882bf8def,41,HAI,Martelly,2011-05-14,2014-12-31,Regular,Still in Office,Still in Office,M,1961,-777,,NA,NA,2011,2014
DOM-1961,81e1b71c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Balaguer,1961-05-30,1962-01-17,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1907,2002,,NA,NA,1961,1962
DOM-1962-1,81e1b71d-1e42-11e4-b4cd-db5882bf8def,42,DOM,Echavarria,1962-01-17,1962-01-19,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1925,-777,,NA,NA,1962,1962
DOM-1962-2,81e1e7f0-1e42-11e4-b4cd-db5882bf8def,42,DOM,Filiberto Bonnelly,1962-01-19,1963-02-27,Regular,Regular,Regular,M,1904,1979,http://dbpedia.org/resource/Rafael_Filiberto_Bonnelly,NA,NA,1962,1963
DOM-1963-1,81e1e7f1-1e42-11e4-b4cd-db5882bf8def,42,DOM,Bosch,1963-02-27,1963-09-25,Regular,Irregular,"Removed by Military, without Foreign Support",M,1909,2001,http://dbpedia.org/resource/Juan_Bosch,NA,NA,1963,1963
DOM-1963-2,81e218c4-1e42-11e4-b4cd-db5882bf8def,42,DOM,de los Santos,1963-09-26,1963-12-22,Irregular,Regular,Regular,M,1903,1986,,NA,NA,1963,1963
DOM-1963-3,81e218c5-1e42-11e4-b4cd-db5882bf8def,42,DOM,Cabral,1963-12-22,1965-04-25,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1923,2006,,NA,NA,1963,1965
DOM-1965-1,81e24998-1e42-11e4-b4cd-db5882bf8def,42,DOM,Molina Urena,1965-04-25,1965-04-27,Irregular,Irregular,"Removed by Military, without Foreign Support",M,1921,2000,,NA,NA,1965,1965
DOM-1965-2,81e24999-1e42-11e4-b4cd-db5882bf8def,42,DOM,Bartolome Benoit,1965-04-27,1965-05-07,Irregular,Regular,Regular,M,1921,-777,,NA,NA,1965,1965
DOM-1965-3,81e27a6c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Berreras,1965-05-07,1965-08-30,Irregular,Regular,Regular,M,1920,-999,,NA,NA,1965,1965
DOM-1965-4,81e27a6d-1e42-11e4-b4cd-db5882bf8def,42,DOM,Godoy,1965-09-03,1966-07-01,Regular,Regular,Regular,M,1921,1970,,NA,NA,1965,1966
DOM-1966,81e1b71c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Balaguer,1966-07-01,1978-07-01,Regular,Regular,Regular,M,1907,2002,,NA,NA,1966,1978
DOM-1978,81e2ab40-1e42-11e4-b4cd-db5882bf8def,42,DOM,Guzman Fernandez,1978-07-01,1982-07-04,Regular,Suicide,Regular,M,1911,1982,http://dbpedia.org/resource/Antonio_Guzm-25C3-25A1n_Fern-25C3-25A1ndez,NA,NA,1978,1982
DOM-1982-1,81e2ab41-1e42-11e4-b4cd-db5882bf8def,42,DOM,Majluta Azar,1982-07-04,1982-08-16,Regular,Regular,Regular,M,1934,1996,http://dbpedia.org/resource/Jacobo_Majluta_Azar,NA,NA,1982,1982
DOM-1982-2,81e2dc14-1e42-11e4-b4cd-db5882bf8def,42,DOM,Blanco,1982-08-16,1986-08-16,Regular,Regular,Regular,M,1926,2010,http://dbpedia.org/resource/Salvador_Jorge_Blanco,NA,NA,1982,1986
DOM-1986,81e1b71c-1e42-11e4-b4cd-db5882bf8def,42,DOM,Balaguer,1986-08-16,1996-08-16,Regular,Regular,Regular,M,1907,2002,,NA,NA,1986,1996
DOM-1996,81e2dc15-1e42-11e4-b4cd-db5882bf8def,42,DOM,Fernandez Reyna,1996-08-16,2000-08-16,Regular,Regular,Regular,M,1953,-777,,NA,NA,1996,2000
DOM-2000,81e30ce8-1e42-11e4-b4cd-db5882bf8def,42,DOM,Hipolito Mejia,2000-08-17,2004-08-16,Regular,Regular,Regular,M,1941,-777,http://dbpedia.org/resource/Hip-25C3-25B3lito_Mej-25C3-25ADa,NA,NA,2000,2004
DOM-2004,81e2dc15-1e42-11e4-b4cd-db5882bf8def,42,DOM,Fernandez Reyna,2004-08-16,2012-08-16,Regular,Regular,Regular,M,1953,-777,,NA,NA,2004,2012
DOM-2012,2b37a44e-3481-11e4-8dba-bbcd9ed46413,42,DOM,Medina,2012-08-16,2015-12-31,Regular,Still in Office,Still in Office,M,1951,-777,,NA,NA,2012,2015
JAM-1962,81e30ce9-1e42-11e4-b4cd-db5882bf8def,51,JAM,Bustamante,1962-08-06,1967-02-22,Regular,Regular,Regular,M,1884,1977,,NA,NA,1962,1967
JAM-1967-1,81e30cea-1e42-11e4-b4cd-db5882bf8def,51,JAM,Sangster,1967-02-22,1967-04-11,Regular,Natural Death,Regular,M,1911,1967,http://dbpedia.org/resource/Donald_Sangster,NA,NA,1967,1967
JAM-1967-2,81e30ceb-1e42-11e4-b4cd-db5882bf8def,51,JAM,Shearer,1967-04-11,1972-03-02,Regular,Regular,Regular,M,1923,2004,http://dbpedia.org/resource/Hugh_Shearer,NA,NA,1967,1972
JAM-1972,81e30cec-1e42-11e4-b4cd-db5882bf8def,51,JAM,Manley,1972-03-02,1980-11-01,Regular,Regular,Regular,M,1924,1997,http://dbpedia.org/resource/Michael_Manley,NA,NA,1972,1980
JAM-1980,81e33dbc-1e42-11e4-b4cd-db5882bf8def,51,JAM,Seaga,1980-11-01,1989-02-10,Regular,Regular,Regular,M,1930,-777,,NA,NA,1980,1989
JAM-1989,81e30cec-1e42-11e4-b4cd-db5882bf8def,51,JAM,Manley,1989-02-10,1992-03-30,Regular,Retired Due to Ill Health,Regular,M,1924,1997,http://dbpedia.org/resource/Michael_Manley,NA,NA,1989,1992
JAM-1992,81e33dbd-1e42-11e4-b4cd-db5882bf8def,51,JAM,Patterson,1992-03-30,2006-03-30,Regular,Regular,Regular,M,1935,-777,,NA,NA,1992,2006
JAM-2006,2b37a44f-3481-11e4-8dba-bbcd9ed46413,51,JAM,Simpson-Miller,2006-03-30,2007-09-11,Regular,Regular,Regular,F,1945,-777,,NA,NA,2006,2007
JAM-2007,825028d2-1e42-11e4-b4cd-db5882bf8def,51,JAM,Golding,2007-09-11,2011-10-23,Regular,Regular,Regular,M,1947,-777,,NA,NA,2007,2011
JAM-2011,825028d3-1e42-11e4-b4cd-db5882bf8def,51,JAM,Holness,2011-10-23,2012-01-05,Regular,Regular,Regular,M,1972,-777,,NA,NA,2011,2012
JAM-2012,2b37a44f-3481-11e4-8dba-bbcd9ed46413,51,JAM,Simpson-Miller,2012-01-05,2015-12-31,Regular,Still in Office,Still in Office,F,1945,-777,,NA,NA,2012,2015
TRI-1962,81e33dbe-1e42-11e4-b4cd-db5882bf8def,52,TRI,Williams,1962-08-31,1981-03-29,Regular,Natural Death,Regular,M,1911,1981,http://dbpedia.org/resource/Eric_Williams,NA,NA,1962,1981
TRI-1981,81e33dbf-1e42-11e4-b4cd-db5882bf8def,52,TRI,Chambers,1981-03-30,1986-12-18,Regular,Regular,Regular,M,1928,1997,,NA,NA,1981,1986
TRI-1986,81e33dc0-1e42-11e4-b4cd-db5882bf8def,52,TRI,Robinson,1986-12-18,1991-12-07,Regular,Regular,Regular,M,1926,-777,http://dbpedia.org/resource/A._N._R._Robinson,NA,NA,1986,1991
TRI-1991,81e36e90-1e42-11e4-b4cd-db5882bf8def,52,TRI,Manning,1991-12-16,1995-11-09,Regular,Regular,Regular,M,1946,-777,http://dbpedia.org/resource/Patrick_Manning,NA,NA,1991,1995
TRI-1995,81e36e91-1e42-11e4-b4cd-db5882bf8def,52,TRI,Panday,1995-11-09,2001-12-24,Regular,Regular,Regular,M,1933,-777,,NA,NA,1995,2001
TRI-2001,81e36e90-1e42-11e4-b4cd-db5882bf8def,52,TRI,Manning,2001-12-25,2010-05-26,Regular,Regular,Regular,M,1947,-777,,NA,NA,2001,2010
TRI-2010,825028d4-1e42-11e4-b4cd-db5882bf8def,52,TRI,Kamla Persad-Bissessar,2010-05-26,2015-09-09,Regular,Regular,Regular,F,1952,-777,,NA,NA,2010,2015
TRI-2015,43f5ae9d-de6a-11e5-ba44-bb6d7c1a9a58,52,TRI,Keith Rowley,2015-09-09,2015-12-31,Regular,Still in Office,Still in Office,F,1949,-777,,NA,NA,2015,2015
BAR-1966,81e36e92-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barrow,1966-11-18,1976-09-08,Regular,Regular,Regular,M,1920,1987,http://dbpedia.org/resource/Errol_Barrow,NA,NA,1966,1976
BAR-1976,81e36e93-1e42-11e4-b4cd-db5882bf8def,53,BAR,Adams,1976-10-08,1985-03-11,Regular,Natural Death,Regular,M,1931,1985,,NA,NA,1976,1985
BAR-1985,81e36e94-1e42-11e4-b4cd-db5882bf8def,53,BAR,St. John,1985-03-11,1986-05-29,Regular,Regular,Regular,M,1931,2004,http://dbpedia.org/resource/Harold_Bernard_St._John,NA,NA,1985,1986
BAR-1986,81e36e92-1e42-11e4-b4cd-db5882bf8def,53,BAR,Barrow,1986-05-29,1987-06-01,Regular,Natural Death,Regular,M,1920,1987,http://dbpedia.org/resource/Errol_Barrow,NA,NA,1986,1987
BAR-1987,81e39f6e-1e42-11e4-b4cd-db5882bf8def,53,BAR,Sandiford,1987-06-01,1994-09-07,Regular,Regular,Regular,M,1937,-777,http://dbpedia.org/resource/Lloyd_Erskine_Sandiford,NA,NA,1987,1994
BAR-1994,81e39f6f-1e42-11e4-b4cd-db5882bf8def,53,BAR,Arthur,1994-09-07,2008-01-16,Regular,Regular,Regular,M,1949,-777,,NA,NA,1994,2008
BAR-2008,825028d5-1e42-11e4-b4cd-db5882bf8def,53,BAR,Thompson,2008-01-16,2010-10-23,Regular,Natural Death,Regular,M,1961,2010,,NA,NA,2008,2010
BAR-2010,825028d6-1e42-11e4-b4cd-db5882bf8def,53,BAR,Stuart,2010-10-23,2015-12-31,Regular,Still in Office,Still in Office,M,1951,-777,,NA,NA,2010,2015
MEX-1946,81e462bf-1e42-11e4-b4cd-db5882bf8def,70,MEX,Aleman Valdes,1946-12-01,1952-12-01,Regular,Regular,Regular,M,1903,1983,http://dbpedia.org/resource/Miguel_Alem-25C3-25A1n_Vald-25C3-25A9s,NA,NA,1946,1952
MEX-1952,81e49392-1e42-11e4-b4cd-db5882bf8def,70,MEX,Ruiz Cortines,1952-12-01,1958-12-01,Regular,Regular,Regular,M,1890,1973,http://dbpedia.org/resource/Adolfo_Ruiz_Cortines,NA,NA,1952,1958
MEX-1958,81e49393-1e42-11e4-b4cd-db5882bf8def,70,MEX,Lopez Mateos,1958-12-01,1964-12-01,Regular,Regular,Regular,M,1910,1969,http://dbpedia.org/resource/Adolfo_L-25C3-25B3pez_Mateos,NA,NA,1958,1964
MEX-1964,81e4c466-1e42-11e4-b4cd-db5882bf8def,70,MEX,Diaz Ordaz,1964-12-01,1970-12-01,Regular,Regular,Regular,M,1911,1979,http://dbpedia.org/resource/Gustavo_D-25C3-25ADaz_Ordaz,NA,NA,1964,1970
MEX-1970,81e4c467-1e42-11e4-b4cd-db5882bf8def,70,MEX,Echeverria Alvarez,1970-12-01,1976-12-01,Regular,Regular,Regular,M,1922,-777,,NA,NA,1970,1976
MEX-1976,81e4c468-1e42-11e4-b4cd-db5882bf8def,70,MEX,Lopez Portillo,1976-12-01,1982-12-01,Regular,Regular,Regular,M,1920,2004,http://dbpedia.org/resource/Jos-25C3-25A9_L-25C3-25B3pez_Portillo,NA,NA,1976,1982
MEX-1982,81e4c469-1e42-11e4-b4cd-db5882bf8def,70,MEX,de La Madrid,1982-12-01,1988-12-01,Regular,Regular,Regular,M,1934,2012,http://dbpedia.org/resource/Miguel_de_la_Madrid,NA,NA,1982,1988
MEX-1988,81e4c46a-1e42-11e4-b4cd-db5882bf8def,70,MEX,Salinas,1988-12-01,1994-11-30,Regular,Regular,Regular,M,1948,-777,http://dbpedia.org/resource/Carlos_Salinas_de_Gortari,NA,NA,1988,1994
MEX-1994,81e4f53a-1e42-11e4-b4cd-db5882bf8def,70,MEX,Zedillo,1994-12-01,2000-11-30,Regular,Regular,Regular,M,1951,-777,http://dbpedia.org/resource/Ernesto_Zedillo,NA,NA,1994,2000
MEX-2000,81e4f53b-1e42-11e4-b4cd-db5882bf8def,70,MEX,Vicente Fox Quesada,2000-12-01,2006-11-30,Regular,Regular,Regular,M,1942,-777,,NA,NA,2000,2006
MEX-2006,825028d7-1e42-11e4-b4cd-db5882bf8def,70,MEX,Calderon,2006-12-01,2012-12-01,Regular,Regular,Regular,M,1962,-777,,NA,NA,2006,2012
MEX-2012,2b37a450-3481-11e4-8dba-bbcd9ed46413,70,MEX,Enrique Pena Nieto,2012-12-01,2015-12-31,Regular,Still in Office,Still in Office,M,1966,-777,,NA,NA,2012,2015
