qid,leader,ccode,start_year,end_year,v2clkill,v2x_ex_military,v2jupurge,v2psbars,v2csreprss,v2exrescon,v2xlg_legcon,v2x_regime,political_killings,military_executive,judicial_purges,party_barriers,civil_repression,const_disregard,no_leg_constraint,regime_type
Q436484,Molina Urena,42,1965,1965,-1.044,0.412,-0.108,-0.79,-0.127,-1.494,0.395,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
Q5972763,Majluta Azar,42,1982,1982,2.184,0.0,0.296,1.79,0.987,-0.286,0.209,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
Q562002,Blanco,42,1982,1986,1.5413999999999999,0.0,0.018999999999999996,1.7899999999999998,0.9869999999999999,-0.43019999999999997,0.19119999999999998,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
Q151944,Fernandez Reyna,42,1996,2000,2.0078,0.125,1.3492,1.7899999999999998,2.048,-0.28440000000000004,0.16360000000000002,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
Q151944,Fernandez Reyna,42,2004,2012,2.231,0.08088888888888889,1.3099999999999998,1.79,2.04,-0.10144444444444445,0.18377777777777776,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2
Q1240351,Sangster,51,1967,1967,1.663,0.1,0.367,2.521,1.327,1.229,0.561,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q982324,Shearer,51,1967,1972,1.1994999999999998,0.09999999999999999,0.367,2.5210000000000004,1.327,1.229,0.561,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q365395,Manley,51,1972,1980,0.5617777777777778,0.1,0.367,2.521,1.5336666666666667,1.229,0.561,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q365395,Manley,51,1989,1992,1.6,0.1,0.367,2.521,2.482,1.229,0.57325,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q1338879,Williams,52,1962,1981,2.7329999999999997,0.0,1.4230000000000005,1.9359999999999995,1.1942999999999997,1.8939999999999997,0.736,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q634551,Robinson,52,1986,1991,2.733,0.0,1.2258333333333333,2.416,2.121,1.894,0.765,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q365206,Manning,52,1991,1995,2.733,0.0,1.137,2.416,2.121,1.8939999999999997,0.765,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q1361644,Barrow,53,1966,1976,2.6239999999999997,0.0,2.5820000000000003,2.015,2.6559999999999997,1.4550000000000003,0.7232727272727273,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q1371769,St. John,53,1985,1986,2.624,0.0,2.582,2.015,2.656,1.455,0.726,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q1361644,Barrow,53,1986,1987,2.624,0.0,2.582,2.015,2.656,1.455,0.726,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q114622,Sandiford,53,1987,1994,2.624,0.0,2.582,2.015,2.656,1.455,0.7462500000000001,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
Q327920,Ruiz Cortines,70,1952,1958,-0.18900000000000003,0.143,-0.238,-0.131,-0.7535714285714284,0.334,0.027,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Q296691,de La Madrid,70,1982,1988,0.108,0.071,-0.238,1.137857142857143,-0.662,0.527,0.08842857142857144,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Q315633,Salinas,70,1988,1994,0.3017142857142857,0.071,-0.36242857142857143,1.1500000000000001,-0.6268571428571429,0.5372857142857143,0.17985714285714288,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Q298149,Zedillo,70,1994,2000,0.682142857142857,0.06085714285714285,0.717,1.11,0.31071428571428567,0.949,0.4582857142857143,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q190572,Vicente Fox Quesada,70,2000,2006,0.8782857142857142,0.020999999999999998,1.1080000000000003,1.11,1.6627142857142856,1.554,0.7302857142857143,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q296741,Enrique Pena Nieto,70,2012,2015,0.75325,0.10075,0.7855,1.01875,1.3955,1.10175,0.63625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q542559,Price,80,1961,1984,,,,,,,,,,,,,,,,
Q951969,Esquivel,80,1984,1989,,,,,,,,,,,,,,,,
Q542559,Price,80,1989,1993,,,,,,,,,,,,,,,,
Q951969,Esquivel,80,1993,1998,,,,,,,,,,,,,,,,
Q335215,Musa,80,1998,2008,,,,,,,,,,,,,,,,
Q216943,Arbenz Guzman,90,1951,1954,-0.25175000000000003,0.35000000000000003,0.37599999999999995,0.92475,2.22725,0.5195,0.2695,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
Q468224,Castillo Armas,90,1954,1957,-1.61,0.625,-0.8109999999999999,-0.53075,-0.46925,-0.8747499999999999,0.0875,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
Q881015,Gonzalez Lopez,90,1957,1957,-1.899,0.3,-0.973,-0.604,-1.422,-1.0,0.071,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0
Q293391,Mendoza Azurdia,90,1957,1957,-1.899,0.3,-0.973,-0.604,-1.422,-1.0,0.071,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0
Q879116,Peralta Azurdia,90,1963,1966,-2.0279999999999996,0.6000000000000001,-0.973,-0.604,-1.16825,-1.20975,0.07825,0.25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
Q879311,Mendez Montenegro,90,1966,1970,-1.8323999999999998,0.2,-0.9730000000000001,-0.604,-1.0228,-0.9710000000000001,0.11059999999999999,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q887685,Arana Osorio,90,1970,1974,-2.016,0.22000000000000003,-0.9730000000000001,-0.604,-1.6132000000000002,-1.6510000000000002,0.094,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q887011,Laugerud Garcia,90,1974,1978,-2.6390000000000002,0.27999999999999997,-0.9730000000000001,-0.604,-1.5417999999999998,-1.7468,0.0814,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q293385,Mejia Victores,90,1983,1986,-2.28475,0.7000000000000001,-0.37925,-0.29174999999999995,-1.147,-1.16,0.18925000000000003,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
Q887617,Cerezo,90,1986,1991,-1.1661666666666666,0.39999999999999997,1.0120000000000002,0.535,0.04399999999999999,0.5099999999999999,0.4576666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q293194,Berger Perdomo,90,2004,2008,0.29,0.3144,1.012,1.857,1.464,0.759,0.732,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q57539,Perez Molina,90,2012,2015,0.29,0.267,1.15525,1.857,1.464,0.759,0.75275,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q1490067,Hector Caraccioli,91,1956,1957,-1.2315,0.625,-0.5725,0.294,-1.007,0.461,0.206,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Q880056,Castro,91,1975,1978,-2.0060000000000002,0.90625,-0.252,0.19,-1.888,-1.508,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,0
Q880335,Paz Garcia,91,1978,1982,-1.0808,0.7849999999999999,-0.6108,0.8806,-2.416,-1.2196,0.17600000000000002,0.4,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0
Q879219,Reina,91,1994,1998,0.41159999999999997,0.3,-1.0418,1.816,0.8596,0.4779999999999999,0.188,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
Q441393,Ricardo Maduro,91,2002,2006,0.729,0.2968,0.796,1.816,1.6016,0.5231999999999999,0.256,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q299442,Micheletti,91,2009,2010,0.20400000000000001,0.3335,-0.275,1.4945,0.635,-0.2715,0.371,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
Q887328,Castaneda Castro,92,1945,1948,-0.773,0.525,0.607,-0.64,-0.257,-1.934,0.03,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0
Q887586,Rodolfo Cordon,92,1962,1962,-0.773,0.4,0.607,-0.165,-0.257,-1.934,0.022,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Q887693,Sanchez Hernandez,92,1967,1972,-0.9394999999999999,0.39999999999999997,0.6070000000000001,-0.17183333333333337,-0.30116666666666664,-2.0269999999999997,0.024833333333333332,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
Q381018,Calderon Sol,92,1994,1999,1.3815,0.16666666666666666,0.9420000000000001,1.619,1.3486666666666667,0.19700000000000004,0.3881666666666666,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q936831,Sanchez Ceren,92,2014,2015,1.781,0.3,0.724,2.683,1.705,1.042,0.661,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q312622,Anastasio Somoza Garcia,93,1947,1956,-2.8239999999999994,0.1,-0.99,-1.036,-2.252,-3.012,0.037000000000000005,0.8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q529610,Luis Somoza Debayle,93,1956,1963,-2.824,0.1,-0.99,-1.036,-2.252,-3.012,0.023,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q888703,Guerrero Gutierrez,93,1966,1967,-2.824,0.1,-0.99,-1.036,-2.252,-3.012,0.023,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q218443,Anastasio Somoza Debayle,93,1967,1979,-2.823999999999999,0.16153846153846152,-1.1411538461538462,-0.9883846153846153,-2.5519999999999996,-2.8316153846153846,0.024083333333333335,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Q57402,Daniel Ortega,93,1979,1990,0.08808333333333333,0.45,-1.0754166666666667,0.64875,-0.5754166666666667,0.4655833333333334,0.3418333333333334,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
Q114142,Violeta Chamorro,93,1990,1997,1.3105,0.1125,0.421875,2.7775,1.578125,1.125,0.748125,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q5974590,Leon Herrera,94,1948,1948,-0.438,0.8,0.919,0.941,-0.306,0.735,0.567,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Q365359,Echandi Jimenez,94,1958,1962,2.968,0.0,1.302,0.684,1.6759999999999997,1.317,0.8378,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q887589,Orlich,94,1962,1966,2.968,0.0,1.302,0.684,1.6759999999999997,1.317,0.8400000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q318298,Carazo Odio,94,1978,1982,2.7272,0.0,1.302,2.817,1.8146,1.317,0.8870000000000001,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q887712,Calderon Fournier,94,1990,1994,3.464,0.0,1.106,2.817,2.414,1.379,0.9372,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q82593,Figueres Olsen,94,1994,1998,3.464,0.0,1.106,2.817,2.414,1.379,0.9368000000000001,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q57321,Laura Chinchilla Miranda,94,2010,2014,3.464,0.0,0.9440000000000002,2.817,2.3756,1.379,0.9474,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3
Q880729,Guizado,95,1955,1955,0.47,0.5,0.656,0.324,1.342,-0.567,0.306,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Q887699,Balladares,95,1994,1999,2.5109999999999997,0.167,1.388,0.9533333333333335,1.107,0.322,0.709,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q231946,Mireya Moscoso,95,1999,2004,2.5109999999999997,0.167,2.015,1.8176666666666668,1.377,0.322,0.709,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Q276283,Martin Torrijos,95,2004,2009,2.5109999999999997,0.08700000000000001,1.9069999999999998,2.048,1.431,0.322,0.709,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q12002,Lleras Camargo,100,1945,1946,-0.8055,0.0,0.643,0.41600000000000004,0.502,-0.286,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
Q455692,Rojas Pinillia,100,1953,1957,-1.5574000000000001,0.7968,0.40380000000000005,0.14079999999999998,-1.5788,-1.6642,0.5508000000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
Q12002,Lleras Camargo,100,1958,1962,-0.39560000000000006,0.0,0.6832,0.319,-0.5995999999999999,0.319,0.705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q540230,Lleras Restropo,100,1966,1970,-0.332,0.0,0.726,0.3276,-0.509,0.319,0.705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q728833,Pastrana Borrero,100,1970,1974,-0.332,0.0,0.726,0.5692,-0.509,0.319,0.705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q540192,Vargas,100,1986,1990,-0.6334,0.0,0.843,0.9381999999999999,-0.8618,0.601,0.7644,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Q332020,César Gaviria Trujillo,100,1990,1994,-0.666,0.0,1.0957999999999999,2.083,-0.192,0.601,0.8131999999999999,1.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q187413,Alvaro Uribe Velez,100,2002,2010,-0.3678888888888889,0.0,0.8365555555555555,2.1581111111111113,0.6115555555555555,0.6227777777777778,0.8363333333333334,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
Q888147,Delgado Chalbaud,101,1948,1950,-1.5036666666666665,0.7503333333333334,-0.123,-0.11733333333333336,-0.9,-1.2226666666666668,0.3960000000000001,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
Q718250,Sanabria,101,1958,1959,-0.05149999999999999,0.5715,-0.044,1.2774999999999999,1.6425,0.371,0.61,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
Q455661,Campins,101,1979,1984,1.014,0.0,-0.3323333333333333,2.595,1.875,0.463,0.8578333333333333,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
Q727036,Lusinchi,101,1984,1989,1.014,0.02383333333333333,-0.25,2.595,1.875,0.463,0.8513333333333333,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
