qid,leader,ccode,start_year,end_year,currency_portrait
Q155824,Kubitschek,140,1956,1961,1
Q192361,Ranieri Mazzilli,140,1961,1961,0
Q192361,Ranieri Mazzilli,140,1964,1964,0
Q294430,Castello Branco,140,1964,1967,0
Q294241,Geisel,140,1974,1979,0
Q236503,Mello,140,1990,1992,0
Q485946,"Franco, Itamar",140,1992,1994,1
Q230578,Cardoso,140,1995,2003,0
Q40722,Rousseff,140,2011,2015,0
Q3306306,Urriolagoitia,145,1949,1951,0
Q886540,Siles Salinas,145,1969,1969,1
Q269039,Banzer Suarez,145,1971,1978,0
Q2566177,Pereda Asbun,145,1978,1978,0
Q886490,Natusch Busch,145,1979,1979,0
Q466098,Lidia Gueiler Tejada,145,1979,1980,0
Q555207,Paz Zamora,145,1989,1993,0
Q379645,Gonzalo Sanchez de Lozada,145,1993,1997,0
Q269039,Banzer Suarez,145,1997,2001,0
Q468805,Jorge Quiroga Ramirez,145,2001,2002,0
Q379645,Gonzalo Sanchez de Lozada,145,2002,2003,0
Q312668,Carlos Mesa,145,2003,2005,0
Q628530,Frutos,150,1948,1948,0
Q888255,Molas Lopez,150,1949,1949,0
Q152534,Stroessner,150,1954,1989,0
Q440837,Rodriguez Pedotti,150,1989,1993,0
Q438594,Gonzalez Macchi,150,1999,2003,0
Q222652,Nicanor Duarte Frutos,150,2003,2008,0
Q151879,Fernando Lugo,150,2008,2012,0
Q57496,Federico Franco,150,2012,2013,0
Q5901842,Horacio Cartes,150,2013,2015,0
Q576,Alessandri Rodriguez,155,1958,1964,0
Q475,Frei Montalva,155,1964,1970,0
Q440,Allende,155,1970,1973,1
Q368,Pinochet,155,1973,1990,1
Q335,Aylwin,155,1990,1994,0
Q331,Ricardo Lagos Escobar,155,2000,2006,0
Q320,Michelle Bachelet,155,2006,2010,0
Q306,Sebastian Piñera,155,2010,2014,0
Q320,Michelle Bachelet,155,2014,2015,0
Q365431,Lonardi,160,1955,1955,0
Q188974,Aramburu,160,1955,1958,0
Q346658,Frondizi,160,1958,1962,0
Q270368,Arturo Illia,160,1963,1966,0
Q380980,Levingston,160,1970,1971,0
Q349261,Lastiri,160,1973,1973,0
Q313996,Viola,160,1981,1981,0
Q124993,Galtieri,160,1981,1982,0
Q298430,Bignone,160,1982,1983,0
Q185107,Menem,160,1989,1999,0
Q357257,Ramon Puerta,160,2001,2001,0
Q312358,Adolfo Rodriguez Saa,160,2001,2002,0
Q294578,Eduardo Duhalde,160,2002,2003,0
Q170899,Nestor Kirchner,160,2003,2007,0
Q40649,Fernandez de Kirchner,160,2007,2015,0
Q561837,Mauricio Macri,160,2015,2015,0
Q879007,Berreta,165,1947,1947,0
Q728925,Batlle Berres,165,1947,1951,0
Q728925,Batlle Berres,165,1955,1956,0
Q2518653,Nardone,165,1960,1961,0
Q367083,Pacheco Areco,165,1967,1972,0
Q15147,Jorge Batlle,165,2000,2005,0
Q9099,Tabare Vazquez,165,2005,2010,0
Q9094,Jose Mujica,165,2010,2015,0
Q9099,Tabare Vasquez,165,2015,2015,0
Q129006,Atlee,200,1945,1951,0
Q8016,Churchill,200,1951,1955,1
Q128995,Eden,200,1955,1957,1
Q128985,MacMillan,200,1957,1963,0
Q128956,Wilson,200,1964,1970,1
Q128967,Heath,200,1970,1974,0
Q128956,Wilson,200,1974,1976,1
Q9576,Callaghan,200,1976,1979,0
Q7416,Thatcher,200,1979,1990,1
Q9559,Major,200,1990,1997,1
Q9545,Blair,200,1997,2007,1
Q381690,Costello,205,1948,1951,0
Q381690,Costello,205,1954,1957,0
Q381681,Lynch,205,1966,1973,0
Q381681,Lynch,205,1977,1979,0
Q333735,Haughey,205,1979,1981,0
Q1425313,Fitzgerald,205,1981,1982,0
Q333735,Haughey,205,1982,1982,0
Q1425313,Fitzgerald,205,1982,1987,0
Q333735,Haughey,205,1987,1992,0
Q735519,Beel,210,1946,1948,0
Q12769,Drees,210,1948,1958,0
Q735519,Beel,210,1958,1959,0
Q781813,de Quay,210,1959,1963,0
Q719701,Marijnen,210,1963,1965,0
Q736026,Cals,210,1965,1966,0
Q380970,Zijlstra,210,1966,1967,0
Q345481,De Jong,210,1967,1971,0
Q471204,Biesheuvel,210,1971,1973,0
Q318320,den Uyl,210,1973,1977,0
Q318334,van Agt,210,1977,1982,0
Q159840,Lubbers,210,1982,1994,0
Q221411,Kok,210,1994,2002,1
Q133386,Jan Peter Balkenende,210,2002,2010,0
Q57792,M. Rutte,210,2010,2015,0
Q313809,Martens,211,1979,1981,0
Q349477,"Eyskens, M.",211,1981,1981,0
Q313809,Martens,211,1981,1992,0
Q950958,Charles Michel,211,2014,2015,0
Q945927,Dupong,212,1945,1953,0
Q315685,Bech,212,1953,1958,0
Q706106,Frieden,212,1958,1959,0
Q315661,Werner,212,1959,1974,0
Q295128,Thorn G.,212,1974,1979,0
Q315661,Werner,212,1979,1984,0
Q39659,Santer,212,1984,1995,0
Q561213,Xavier Bettel,212,2013,2015,0
Q312026,Bidault,220,1946,1946,0
Q328235,Ramadier,220,1947,1947,0
Q15981,Schuman,220,1947,1948,0
Q15981,Schuman,220,1948,1948,0
Q455655,Queuille,220,1948,1949,0
Q312026,Bidault,220,1949,1950,0
Q455655,Queuille,220,1950,1950,0
Q455655,Queuille,220,1951,1951,0
Q327013,Faure,220,1952,1952,0
Q356724,Pinay,220,1952,1952,0
Q328240,Laniel,220,1953,1954,0
Q327013,Faure,220,1955,1956,0
Q314006,Mollet,220,1956,1957,0
Q328504,Pflimin,220,1958,1958,0
Q2042,De Gaulle,220,1958,1969,1
Q12950,Poher,220,1969,1969,0
Q2185,Pompidou,220,1969,1974,0
Q12950,Poher,220,1974,1974,0
Q2105,Chirac,220,1995,2007,0
Q157,Hollande,220,2012,2015,0
Q115442,Doris Leuthard,225,2010,2010,0
Q122991,Simonetta Sommaruga,225,2015,2015,0
Q19943,Juan Carlos,230,1975,1975,0
Q365172,Arias Navarro,230,1975,1976,0
Q310870,Caetano,235,1968,1974,0
