leader,ccode,start_year,end_year,idacr,qid,source,wiki_title
Orlich,94,1962,1966,COS,Q887589,direct,Francisco Orlich Bolmarcich
Carazo Odio,94,1978,1982,COS,Q318298,direct,Rodrigo Carazo Odio
Calderon Fournier,94,1990,1994,COS,Q887712,fuzzy,
Figueres Olsen,94,1994,1998,COS,Q82593,fuzzy,
Laura Chinchilla Miranda,94,2010,2014,COS,Q57321,fuzzy,
Guizado,95,1955,1955,PAN,Q880729,fuzzy,
Balladares,95,1994,1999,PAN,Q887699,fuzzy,
Mireya Moscoso,95,1999,2004,PAN,Q231946,direct,Mireya Moscoso
Martin Torrijos,95,2004,2009,PAN,Q276283,fuzzy,
Lleras Camargo,100,1945,1946,COL,Q12002,direct,Alberto Lleras Camargo
Rojas Pinillia,100,1953,1957,COL,Q455692,direct,Gustavo Rojas Pinilla
Lleras Camargo,100,1958,1962,COL,Q12002,direct,Alberto Lleras Camargo
Lleras Restropo,100,1966,1970,COL,Q540230,direct,Carlos Lleras Restrepo
Pastrana Borrero,100,1970,1974,COL,Q728833,direct,Misael Pastrana Borrero
Vargas,100,1986,1990,COL,Q540192,direct,Virgilio Barco Vargas
César Gaviria Trujillo,100,1990,1994,COL,Q332020,fuzzy,
Alvaro Uribe Velez,100,2002,2010,COL,Q187413,fuzzy,
Delgado Chalbaud,101,1948,1950,VEN,Q888147,direct,Carlos Delgado Chalbaud
Sanabria,101,1958,1959,VEN,Q718250,direct,Edgar Sanabria
Campins,101,1979,1984,VEN,Q455661,direct,Luis Herrera Campins
Lusinchi,101,1984,1989,VEN,Q727036,fuzzy,
Maduro,101,2012,2015,VEN,Q58132,fuzzy,
Burnham,110,1966,1985,GUY,Q718256,direct,Forbes Burnham
Hoyte,110,1985,1992,GUY,Q887418,direct,Desmond Hoyte
Jagan Cheddi,110,1992,1997,GUY,Q724156,direct,Cheddi Jagan
Samuel Hinds,110,1997,1997,GUY,Q57697,direct,Sam Hinds
Janet Jagan,110,1997,1999,GUY,Q239709,direct,Janet Jagan
Bharrat Jagdeo,110,1999,2011,GUY,Q212760,direct,Bharrat Jagdeo
Ramotar,110,2011,2015,GUY,Q57422,fuzzy,
Ferrier,115,1975,1980,SUR,Q333129,direct,Johan Ferrier
Mancheno,130,1947,1947,ECU,Q434552,fuzzy,
Plaza Lasso,130,1948,1952,ECU,Q887063,fuzzy,
Arosemena Monroy,130,1961,1963,ECU,Q718247,fuzzy,
Arosemena Gomez,130,1966,1968,ECU,Q434746,direct,Otto Arosemena
Rodriguez Lara,130,1972,1976,ECU,Q728490,fuzzy,
Hurtado Larrea,130,1981,1984,ECU,Q878508,fuzzy,
Borja Cevallos,130,1988,1992,ECU,Q743354,direct,Rodrigo Borja Cevallos
Rosalia Arteaga Serrano,130,1997,1997,ECU,Q291543,fuzzy,
Mahuad,130,1998,2000,ECU,Q471248,direct,Jamil Mahuad
Gustavo Noboa,130,2000,2003,ECU,Q471291,fuzzy,
Lucio Gutierrez,130,2003,2005,ECU,Q336234,fuzzy,
Rafael Correa,130,2007,2015,ECU,Q19581,fuzzy,
Ugarteche,135,1956,1962,PER,Q116718,direct,Manuel Prado Ugarteche
Velasco Alvarado,135,1968,1975,PER,Q311431,direct,Juan Velasco Alvarado
Alejandro Toledo,135,2001,2006,PER,Q207426,fuzzy,
Ollanta Humala,135,2011,2015,PER,Q57254,fuzzy,
Dutra,140,1946,1951,BRA,Q296679,direct,Eurico Gaspar Dutra
Coimbra da Luz,140,1955,1955,BRA,Q269572,redirect,Carlos Coimbra da Luz
Kubitschek,140,1956,1961,BRA,Q155824,redirect,Juscelino Kubitschek de Oliveira
Ranieri Mazzilli,140,1961,1961,BRA,Q192361,direct,Pascoal Ranieri Mazzilli
