qid,leader,ccode,iso3,country,start_year,end_year,theta,theta_se,theta_inst,theta_cult,gwf_regimetype,gwf_personal,gwf_years_matched
Q29179,Franco,230,ESP,Spain,1946,1975,1.1574301415531745,0.5640837514040983,0.8566534648908294,1.4524916865486577,personal,1.0,30
Q157451,H. Aliyev,373,AZE,Azerbaijan,1993,2003,1.1556816337554878,0.5158276277175196,0.8453164790658579,0.978303526687046,personal,1.0,10
Q28517,Zhivkov,355,BGR,Bulgaria,1956,1989,1.146378790709064,0.5337205649486226,-0.345669321034898,0.8920493396369112,party-based,0.0,34
Q57788,Hun Sen,811,KHM,Cambodia,1997,2015,1.1392226666388223,0.5125460077450689,1.6400941268617244,-0.5149392020851868,party-based,0.0,14
Q367825,Salman bin Abdulaziz Al Saud,670,SAU,Saudi Arabia,2015,2015,1.136320413787209,0.5174682049140776,0.8537435256992875,-0.2752405440910458,,,0
Q457201,Ndadaye,516,BDI,Burundi,1993,1993,1.1267972124398902,0.5426797116706964,-0.2424827243707798,-0.4292367066146198,military,0.0,1
Q58132,Maduro,101,VEN,Venezuela,2012,2015,1.1208591115478217,0.5309724053992871,-0.3425728256372338,0.725089174091892,,,0
Q38823,Ayatollah Khomeini,630,IRN,Iran,1979,1989,1.1201465140050813,0.5580105998196044,-0.2423968717064899,1.5754111551912264,,0.0,11
Q7747,Putin,365,RUS,Russia,2000,2015,1.1201465140050813,0.5580105998196044,-0.2423968717064899,1.5754111551912264,personal,1.0,11
Q192927,Trujillo,42,DOM,Dominican Republic,1946,1961,1.0722469621473998,0.5720757690549391,-0.2753581528881635,1.0779584222109588,personal,1.0,16
Q4076,Brezhnev,365,RUS,Russia,1964,1982,1.0722469621473998,0.5720757690549391,-0.2753581528881635,1.0779584222109588,party-based,0.0,19
Q198313,Ziaur Rahman,771,BGD,Bangladesh,1975,1981,1.069022467828202,0.5406669659590498,-0.3370428086922635,-0.0849059599681818,personal,1.0,7
Q44819,Suharto,850,IDN,Indonesia,1966,1998,1.06567500187076,0.538203333867871,-0.2342065101676171,0.9834139449311544,party-personal-military,1.0,33
Q193874,Mohammed V,600,MAR,Morocco,1956,1961,1.0502493403079445,0.5374493051475643,-0.3348498517690638,0.1381531256333149,monarchy,0.0,5
Q296317,Rahman,820,MYS,Malaysia,1959,1970,1.0502493403079445,0.5374493051475643,-0.3348498517690638,0.1381531256333149,party-based,0.0,12
